date,dayofweek,visiting_team,v_game_number,home_team,h_game_number,v_score,h_score,LOG_inouts,LOG_minutes,v_AB,v_H,v_2B,v_3B,v_HR,v_RBI,v_SF,v_HBP,v_BB,v_K,v_SB,v_GIDP,v_LOB,v_pitchers_used,v_ER,v_def_assists,v_errors_def,v_doubleplays_def,h_AB,h_H,h_2B,h_3B,h_HR,h_RBI,h_SF,h_HBP,h_BB,h_K,h_SB,h_GIDP,h_LOB,h_pitchers_used,h_ER,h_def_assists,h_errors_def,h_doubleplays_def
20190403,Wed,CHW,5,CLE,5,8,3,54,181,40,13,3,0,1,8,0,0,4,10,1,0,9,4,2,11,3,0,34,5,0,0,1,3,0,0,1,13,0,0,5,5,6,11,1,0
20190403,Wed,MIN,5,KCR,5,7,6,54,212,34,11,5,0,0,7,1,2,5,10,1,2,8,4,5,12,1,0,36,9,0,1,1,6,0,0,3,5,1,0,6,6,7,9,0,2
20190403,Wed,DET,7,NYY,6,2,1,54,157,29,3,1,0,1,2,1,0,3,8,2,0,4,4,1,4,1,0,31,5,1,0,0,1,0,0,4,18,1,0,7,4,2,13,1,0
20190403,Wed,BOS,7,OAK,9,6,3,54,201,36,9,2,1,1,6,0,1,2,7,0,0,6,4,3,14,1,1,32,5,0,0,1,3,0,2,5,7,1,1,9,6,5,8,1,0
20190403,Wed,COL,7,TBD,7,1,0,66,199,36,5,0,0,1,1,0,0,2,13,0,1,4,5,0,9,1,1,39,6,0,0,0,0,0,0,7,11,3,1,13,6,1,10,0,2
20190403,Wed,HOU,7,TEX,6,0,4,51,159,32,6,2,0,0,0,0,0,2,9,0,2,7,2,4,4,0,0,29,5,1,0,1,4,0,0,4,13,2,0,5,3,0,6,2,2
20190403,Wed,BAL,6,TOR,7,3,5,51,162,31,6,1,0,1,3,0,1,1,10,0,0,3,4,4,6,1,2,31,10,3,0,2,4,0,0,2,5,0,0,4,4,3,11,0,1
20190404,Thu,CHC,6,ATL,6,4,9,51,209,33,6,0,0,2,4,0,1,3,7,0,0,6,4,8,13,1,1,34,13,4,0,0,8,1,0,6,6,0,1,9,4,4,13,0,0
20190404,Thu,WSN,6,NYM,7,4,0,54,199,30,5,1,0,1,4,1,1,4,11,1,0,6,5,0,6,2,1,32,4,0,0,0,0,0,0,2,14,0,1,7,5,4,7,0,0
20190404,Thu,CIN,6,PIT,5,0,2,51,160,33,6,3,0,0,0,0,0,4,8,0,1,10,4,2,12,0,1,32,10,1,0,0,2,0,0,0,5,1,1,6,4,0,11,0,1
20190404,Thu,TEX,7,ANA,7,11,4,54,229,39,15,3,0,2,11,0,2,4,10,0,1,7,4,3,11,2,2,35,8,1,0,2,4,0,0,7,9,0,2,11,5,11,9,1,2
20190404,Thu,NYY,7,BAL,7,8,4,54,207,37,12,1,0,4,8,0,1,3,7,0,0,6,4,4,10,0,1,35,10,1,0,1,2,0,0,4,12,0,1,8,5,8,11,0,1
20190404,Thu,TOR,8,CLE,6,1,4,51,186,30,3,1,0,0,1,0,2,8,13,0,0,12,3,3,6,1,0,28,7,1,0,0,4,2,0,5,7,0,0,8,3,1,6,0,0
20190404,Thu,KCR,6,DET,8,4,5,51,167,34,8,1,1,1,3,1,0,2,12,0,0,6,4,5,5,2,0,29,6,3,0,0,5,1,0,7,10,2,0,8,3,3,6,1,0
20190404,Thu,BOS,8,OAK,10,3,7,51,196,34,10,0,0,1,3,0,0,5,7,1,1,10,3,7,4,0,1,36,13,3,0,1,7,0,0,4,5,1,1,9,4,3,10,0,1
20190405,Fri,BOS,9,ARI,8,8,15,51,203,38,12,3,0,2,8,0,0,3,5,0,1,6,4,15,11,1,1,40,18,4,0,5,14,0,0,4,8,0,1,6,4,8,17,0,1
20190405,Fri,FLA,8,ATL,7,0,4,51,155,27,3,1,0,0,0,0,0,4,10,0,3,4,4,4,6,0,0,31,7,0,0,2,4,0,1,2,8,0,0,6,3,0,7,0,3
